Modified;File
M;arch/arm/include/asm/tls.h
M;arch/arm/include/asm/topology.h
A;arch/arm/include/asm/trusted_foundations.h
M;arch/arm/include/asm/uaccess.h
M;arch/arm/include/asm/unified.h
M;arch/arm/include/asm/unistd.h
A;arch/arm/include/asm/uprobes.h
M;arch/arm/include/asm/word-at-a-time.h
M;arch/arm/include/asm/xen/hypercall.h
M;arch/arm/include/asm/xen/hypervisor.h
M;arch/arm/include/asm/xen/interface.h
A;arch/arm/include/asm/xen/page-coherent.h
M;arch/arm/include/asm/xen/page.h
M;arch/arm/include/debug/imx-uart.h
M;arch/arm/include/uapi/asm/hwcap.h
M;arch/arm/include/uapi/asm/kvm.h
A;arch/arm/include/uapi/asm/perf_regs.h
M;arch/arm/include/uapi/asm/unistd.h
M;arch/arm/kernel/arch_timer.c
M;arch/arm/kernel/armksyms.c
M;arch/arm/kernel/asm-offsets.c
M;arch/arm/kernel/atags_parse.c
M;arch/arm/kernel/bios32.c
M;arch/arm/kernel/crash_dump.c
M;arch/arm/kernel/devtree.c
M;arch/arm/kernel/etm.c
M;arch/arm/kernel/fiq.c
M;arch/arm/kernel/ftrace.c
A;arch/arm/kernel/hibernate.c
M;arch/arm/kernel/hw_breakpoint.c
M;arch/arm/kernel/io.c
M;arch/arm/kernel/irq.c
M;arch/arm/kernel/isa.c
M;arch/arm/kernel/kgdb.c
M;arch/arm/kernel/kprobes-arm.c
M;arch/arm/kernel/kprobes-common.c
M;arch/arm/kernel/kprobes-test-arm.c
M;arch/arm/kernel/kprobes-test-thumb.c
M;arch/arm/kernel/kprobes-test.c
M;arch/arm/kernel/kprobes-test.h
M;arch/arm/kernel/kprobes-thumb.c
M;arch/arm/kernel/kprobes.c
M;arch/arm/kernel/kprobes.h
M;arch/arm/kernel/machine_kexec.c
M;arch/arm/kernel/module.c
M;arch/arm/kernel/perf_event.c
M;arch/arm/kernel/perf_event_cpu.c
M;arch/arm/kernel/perf_event_v6.c
M;arch/arm/kernel/perf_event_v7.c
M;arch/arm/kernel/perf_event_xscale.c
A;arch/arm/kernel/perf_regs.c
M;arch/arm/kernel/pj4-cp0.c
A;arch/arm/kernel/probes-arm.c
A;arch/arm/kernel/probes-arm.h
A;arch/arm/kernel/probes-thumb.c
A;arch/arm/kernel/probes-thumb.h
A;arch/arm/kernel/probes.c
A;arch/arm/kernel/probes.h
M;arch/arm/kernel/process.c
M;arch/arm/kernel/psci.c
M;arch/arm/kernel/psci_smp.c
M;arch/arm/kernel/ptrace.c
M;arch/arm/kernel/return_address.c
M;arch/arm/kernel/setup.c
M;arch/arm/kernel/signal.c
M;arch/arm/kernel/smp.c
M;arch/arm/kernel/smp_scu.c
M;arch/arm/kernel/smp_tlb.c
M;arch/arm/kernel/smp_twd.c
M;arch/arm/kernel/stacktrace.c
M;arch/arm/kernel/suspend.c
M;arch/arm/kernel/swp_emulate.c
M;arch/arm/kernel/sys_oabi-compat.c
M;arch/arm/kernel/tcm.c
M;arch/arm/kernel/thumbee.c
M;arch/arm/kernel/time.c
M;arch/arm/kernel/topology.c
M;arch/arm/kernel/traps.c
M;arch/arm/kernel/unwind.c
A;arch/arm/kernel/uprobes-arm.c
A;arch/arm/kernel/uprobes.c
A;arch/arm/kernel/uprobes.h
M;arch/arm/kvm/arm.c
M;arch/arm/kvm/coproc.c
M;arch/arm/kvm/coproc.h
M;arch/arm/kvm/coproc_a15.c
A;arch/arm/kvm/coproc_a7.c
M;arch/arm/kvm/emulate.c
M;arch/arm/kvm/guest.c
M;arch/arm/kvm/handle_exit.c
M;arch/arm/kvm/mmio.c
M;arch/arm/kvm/mmu.c
M;arch/arm/kvm/psci.c
M;arch/arm/kvm/reset.c
M;arch/arm/lib/bitops.h
M;arch/arm/lib/delay.c
